# wl(um)  flux(Jy) eflux(Jy)
  2.58167 4.9E-5   1.99E-4  
  2.59135 2.0E-5   1.98E-4  
  2.60102 -6.1E-5  1.95E-4  
  2.6107  -7.6E-5  1.91E-4  
  2.62038 -2.0E-6  1.77E-4  
  2.63005 3.7E-5   1.62E-4  
  2.63973 1.27E-4  1.73E-4  
  2.6494  8.4E-5   1.77E-4  
  2.65908 3.8E-5   1.78E-4  
  2.66876 1.6E-5   1.73E-4  
  2.67843 -4.7E-5  1.64E-4  
  2.68811 -9.2E-5  1.66E-4  
  2.69779 -1.7E-5  1.73E-4  
  2.70746 -8.3E-5  1.71E-4  
  2.71714 1.2E-5   1.73E-4  
  2.72681 5.2E-5   1.86E-4  
  2.73649 1.05E-4  1.9E-4   
  2.74617 8.0E-6   1.92E-4  
  2.75584 7.5E-5   1.89E-4  
  2.76552 -1.2E-5  1.78E-4  
  2.7752  -4.7E-5  1.85E-4  
  2.78487 2.4E-5   1.83E-4  
  2.79455 -4.6E-5  1.86E-4  
  2.80422 -9.3E-5  1.85E-4  
  2.8139  -1.03E-4 1.8E-4   
  2.82358 -1.0E-5  1.86E-4  
  2.83325 -9.6E-5  1.82E-4  
  2.84293 2.21E-4  1.87E-4  
  2.85261 7.4E-5   1.89E-4  
  2.86228 1.55E-4  1.85E-4  
  2.87196 3.07E-4  1.86E-4  
  2.88163 3.6E-4   1.7E-4   
  2.89131 3.15E-4  1.74E-4  
  2.90099 2.85E-4  1.77E-4  
  2.91066 1.29E-4  1.79E-4  
  2.92034 1.45E-4  1.76E-4  
  2.93002 2.45E-4  1.74E-4  
  2.93969 3.94E-4  1.77E-4  
  2.94937 2.77E-4  1.74E-4  
  2.95904 3.16E-4  1.75E-4  
  2.96872 2.56E-4  1.78E-4  
  2.9784  3.61E-4  1.82E-4  
  2.98807 3.61E-4  1.81E-4  
  2.99775 5.67E-4  1.79E-4  
  3.00743 5.9E-4   1.74E-4  
  3.0171  6.38E-4  1.77E-4  
  3.02678 7.07E-4  1.8E-4   
  3.03645 6.58E-4  1.77E-4  
  3.04613 6.72E-4  1.67E-4  
  3.05581 6.04E-4  1.67E-4  
  3.06548 4.84E-4  1.69E-4  
  3.07516 4.33E-4  1.76E-4  
  3.08484 4.06E-4  1.8E-4   
  3.09451 5.16E-4  1.84E-4  
  3.10419 3.55E-4  1.86E-4  
  3.11386 4.14E-4  1.94E-4  
  3.12354 2.02E-4  1.88E-4  
  3.13322 1.42E-4  1.96E-4  
  3.14289 2.26E-4  2.01E-4  
  3.15257 2.4E-4   2.03E-4  
  3.16225 1.53E-4  2.03E-4  
  3.17192 7.8E-5   2.07E-4  
  3.1816  4.0E-6   2.1E-4   
  3.19127 1.15E-4  2.15E-4  
  3.20095 2.36E-4  2.23E-4  
  3.21063 2.64E-4  2.3E-4   
  3.2203  -4.9E-5  2.31E-4  
  3.22998 -2.1E-5  2.38E-4  
  3.23966 -1.25E-4 2.41E-4  
  3.24933 0.0      2.46E-4  
  3.25901 2.0E-5   2.4E-4   
  3.26868 1.24E-4  2.41E-4  
  3.27836 1.05E-4  2.46E-4  
  3.28804 2.38E-4  2.39E-4  
  3.29771 2.7E-5   2.33E-4  
  3.30739 -5.2E-5  2.37E-4  
  3.31707 -1.24E-4 2.39E-4  
  3.32674 -2.04E-4 2.41E-4  
  3.33642 -1.67E-4 2.43E-4  
  3.34609 -1.5E-4  2.41E-4  
  3.35577 -2.8E-5  2.48E-4  
  3.36545 1.3E-5   2.5E-4   
  3.37512 1.27E-4  2.45E-4  
  3.3848  9.0E-5   2.44E-4  
  3.39448 1.83E-4  2.5E-4   
  3.40415 1.16E-4  2.5E-4   
  3.41383 -2.1E-5  2.5E-4   
  3.4235  -4.7E-5  2.47E-4  
  3.43318 -2.3E-5  2.48E-4  
  3.44286 1.1E-5   2.46E-4  
  3.45253 -5.0E-5  2.48E-4  
