# 2MASS              f_2MASS OSpT  OSpT_flt OGrav  IRSpT    IRSpT_flt IGrav      f_IRSpT spt_flt_assumed Jmag   e_Jmag Hmag   e_Hmag Ksmag  e_Ksmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag Ref        Nm Nrv Nir Npm Np pmRA     e_pmRA  pmDE     e_pmDE  Plx    e_Plx Dist e_Dist RV     e_RV  E_RV u_RV Ref2   l_PBII PBII  l_CBII CBII   GBII     PL    GL       PC    GC       PBI   GBI      Mm  MCat 2M SimbadName                _RA       _DE      
  00011217+1535355   ""      ""    ""       -      L4       14        beta       ""      14              15.522 0.061  14.505 0.052  13.71  0.043   12.938 0.023   12.517 0.026   11.498 0.177   8.953 ""      5          "" 0   0   0   0  0.1352   0.0107  -0.1696  0.0137  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     97.4  ""     1.1    "AB DOR" 35.12 "AB DOR" 43.1  "AB DOR" 99.04 "AB DOR" AM  0    2M "2MASS J00011217+1535355" 0.30069   15.59321 
  00040288-6410358   ""      L1    11       gamma  L1       11        gamma      a       11              15.786 0.071  14.831 0.073  14.01  0.045   13.37  0.025   12.937 0.027   12.178 0.244   9.161 ""      "15; 27"   *  0   1   1   0  0.064    0.012   -0.047   0.012   ""     ""    17   1      6.07   2.89  ""   :    1      ""     99.6  ""     0.0    TUC-HOR  38.76 TUC-HOR  100.0 TUC-HOR  100.0 TUC-HOR  HLM 1    2M "2MASS J00040288-6410358" 1.012     -64.17661
  00182834-6703130   ""      ""    ""       -      L0       10        gamma      ""      10              15.457 0.057  14.48  0.061  13.711 0.039   13.171 0.025   12.768 0.026   12.763 0.445   9.046 ""      5          "" 0   0   0   0  0.066    0.004   -0.0523  0.0126  ""     ""    ""   ""     ""     ""    ""   ""   1;10   ""     99.9  <      0.1    TUC-HOR  48.71 TUC-HOR  76.7  TUC-HOR  99.83 TUC-HOR  AM  0    2M "2MASS J00182834-6703130" 4.61804   -67.05361
  00191296-6226005   ""      ""    ""       -      L1       11        gamma      ""      11              15.64  0.06   14.618 0.054  13.957 0.051   13.351 0.025   12.883 0.026   12.378 0.262   9.114 ""      5          *  0   0   0   0  0.0541   0.0047  -0.0345  0.0121  ""     ""    21   6      6.7    2.5   ""   :    1;10   ""     99.7  <      0.1    TUC-HOR  0.0   NONE     99.7  TUC-HOR  89.44 TUC-HOR  HLM 0    2M "2MASS J00191296-6226005" 4.80385   -62.43343
  00192626+4614078   ""      M8    8        -      M8       8         beta       ""      8               12.603 0.017  11.94  0.021  11.502 0.011   11.26  0.023   11.001 0.02    10.857 0.07    9.401 ""      "7; 5"     *  0   0   0   0  0.14     0.06    -0.1     0.05    ""     ""    31   3      -19.5  2.0   ""   ""   2;4    ""     72.0  ""     13.3   "AB DOR" 66.42 "AB DOR" 99.0  "AB DOR" 99.0  "AB DOR" HLM 1    2M "2MASS J00192626+4614078" 4.85945   46.2355  
  00274197+0503417   ""      M9.5  9.5      beta   L0       10        beta       a       9.5             16.189 0.092  15.288 0.099  14.96  0.115   14.619 0.036   14.135 0.054   12.239 ""      8.89  ""      "6; 27; 36" *  0   1   0   0  0.0105   4.0E-4  -8.0E-4  3.0E-4  13.8   1.6   ""   ""     ""     ""    ""   ""   3      ""     0.0   ""     100.0  ARGUS    0.0   NONE     100.0 CHA-NEAR 100.0 OLD      AM  1    2M "2MASS J00274197+0503417" 6.92492   5.06158  
  00303013-1450333   ""      L7    17       -      L4-L6    14-16     beta       ""      17              16.278 0.111  15.273 0.1    14.481 0.1     13.657 0.028   13.263 0.034   12.275 ""      9.149 ""      "18; 5"    *  0   0   0   0  0.2497   0.0141  -0.0053  0.015   37.42  4.5   ""   ""     ""     ""    ""   ""   "10; 11" ""     26.5  ""     2.6    ARGUS    29.65 "AB DOR" 98.1  CHA-NEAR 97.87 ARGUS    AM  0    2M "2MASS J00303013-1450333" 7.62554   -14.84261
  00325584-4405058   ""      L0    10       gamma  L0       10        beta       ""      10              14.776 0.032  13.857 0.032  13.27  0.035   12.82  0.025   12.49  0.025   11.726 0.187   9.289 ""      "2; 6; 27" *  1   0   0   0  0.1283   0.0034  -0.0934  0.003   21.6   7.2   ""   ""     12.95  1.92  ""   ""   "1; 5" ""     67.3  ""     1.0    TUC-HOR  91.3  "AB DOR" 96.0  "AB DOR" 100.0 "AB DOR" HLM 1    2M "2MASS J00325584-4405058" 8.2327    -44.08493
  003323.86-152130.9 ""      L4    14       beta   L1       11        ""         ""      14              15.286 0.056  14.208 0.051  13.41  0.039   12.801 0.025   12.479 0.027   11.888 0.247   8.879 ""      "2; 6; 27" *  0   0   0   0  0.3095   0.0104  0.0289   0.0183  24.8   2.5   ""   ""     -6.37  0.4   ""   ""   "1; 6" ""     0.0   ""     99.8   COLUMBA  0.0   NONE     60.0  CHA-NEAR 100.0 OLD      NM  1    2M "DENIS J003323.8-152130"  8.34947   -15.35857
  00344300-4102266   ""      ""    ""       -      L1       11        beta       ""      11              15.707 0.066  14.807 0.064  14.084 0.056   13.498 0.026   13.098 0.03    12.596 0.394   9.285 ""      5          "" 0   0   0   0  0.0939   0.0079  -0.0412  0.0108  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     98.7  <      0.1    TUC-HOR  41.91 TUC-HOR  70.1  TWHYA    70.48 TUC-HOR  AM  0    2M "2MASS J00344300-4102266" 8.67916   -41.04073
