# SpT SpT_flt N_J-H J-H_avg sigma_J-H N_J-K J-K_avg sigma_J-K N_J-W1 J-W1_avg sigma_J-W1 N_J-W2 J-W2_avg sigma_J-W2 N_H-K H-K_avg sigma_H-K N_H-W1 H-W1_avg sigma_H-W1 N_H-W2 H-W2_avg sigma_H-W2 N_K-W1 K-W1_avg sigma_K-W1 N_K-W2 K-W2_avg sigma_K-W2 N_W1-W2 W1-W2_avg sigma_W1-W2
  M7  7       1998  0.61    0.09      1976  0.97    0.1       1992   1.17     0.09       1990   1.37     0.1        1976  0.36    0.1       1992   0.55     0.09       1988   0.76     0.1        1970   0.2      0.09       1970   0.41     0.1        1991    0.21      0.06       
  M8  8       703   0.65    0.09      698   1.06    0.11      692    1.27     0.12       692    1.49     0.13       698   0.41    0.09      692    0.62     0.1        692    0.84     0.12       687    0.22     0.09       687    0.44     0.11       692     0.22      0.06       
  M9  9       430   0.69    0.1       428   1.15    0.11      420    1.41     0.14       420    1.65     0.17       428   0.45    0.1       420    0.72     0.11       420    0.96     0.15       417    0.26     0.1        417    0.51     0.14       421     0.24      0.06       
  L0  10      231   0.75    0.12      223   1.22    0.15      228    1.55     0.17       225    1.83     0.19       210   0.48    0.12      222    0.81     0.13       219    1.08     0.17       223    0.34     0.12       219    0.61     0.13       229     0.27      0.08       
  L1  11      129   0.81    0.14      125   1.35    0.19      114    1.71     0.21       114    1.97     0.23       127   0.54    0.13      113    0.91     0.15       113    1.17     0.18       112    0.37     0.11       111    0.63     0.14       118     0.26      0.06       
  L2  12      65    0.91    0.14      66    1.51    0.21      57     1.98     0.28       57     2.27     0.32       65    0.59    0.11      56     1.05     0.17       56     1.34     0.22       57     0.45     0.12       57     0.74     0.16       58      0.29      0.07       
  L3  13      65    0.96    0.14      64    1.61    0.22      59     2.11     0.29       59     2.42     0.34       64    0.65    0.15      58     1.16     0.2        58     1.47     0.24       59     0.51     0.14       59     0.82     0.18       63      0.31      0.06       
  L4  14      39    1.07    0.17      38    1.74    0.25      34     2.4      0.34       33     2.74     0.4        38    0.67    0.14      34     1.34     0.24       34     1.67     0.29       34     0.68     0.14       34     1.01     0.18       35      0.34      0.07       
  L5  15      36    1.09    0.14      36    1.75    0.22      39     2.48     0.25       39     2.83     0.3        36    0.66    0.11      40     1.39     0.15       39     1.74     0.2        38     0.74     0.12       37     1.08     0.18       41      0.35      0.08       
  L6  16      18    1.11    0.2       19    1.84    0.28      21     2.59     0.41       21     3.0      0.52       23    0.76    0.16      21     1.49     0.3        21     1.92     0.38       22     0.77     0.2        22     1.19     0.26       23      0.41      0.12       
  L7  17      12    1.11    0.12      12    1.81    0.16      13     2.54     0.26       13     3.01     0.3        12    0.7     0.09      14     1.45     0.19       14     1.91     0.24       14     0.76     0.14       14     1.22     0.19       15      0.45      0.09       
  L8  18      18    1.11    0.12      19    1.78    0.16      17     2.56     0.2        17     3.13     0.24       20    0.67    0.09      19     1.46     0.16       18     2.04     0.19       19     0.8      0.11       18     1.37     0.14       19      0.56      0.11       
