# name                         ra_j2000_formula dec_j2000_formula gucds_shortname ref_discovery                    multiplesystem_unresolved_in_this_table multiplesystem_resolved_in_this_table     youth_evidence      age_category                 designation_2mass        ra_epoch_2mass dec_epoch_2mass epoch_2mass J_2MASS Jerr_2MASS ref_J_2MASS H_2MASS Herr_2MASS ref_H_2MASS Ks_2MASS Kserr_2MASS ref_Ks_2MASS  Cflg_2MASS designation_MKO             Y_MKO   Yerr_MKO ref_Y_MKO      J_MKO   Jerr_MKO ref_J_MKO     H_MKO   Herr_MKO ref_H_MKO      K_MKO  Kerr_MKO ref_K_MKO     designation_WISE           ra_j2000_WISE dec_j2000_WISE W1     W1err W2     W2err W3     W3err W4     W4err ch1    ch1err ch2    ch2err ref_Spitzer    spt_opt       ref_spt_opt spt_ir             ref_spt_ir     spt_opt_flt spt_ir_flt spt_adop_flt plx_formula plxerr_formula ref_plx_formula banyan_sigma_max_hypo_young banyan_sigma_max_prob_young
  "ULAS J000010.43+113602.2"   0.0432           11.602            J0000+1136      Card15                           N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         "ULAS J000010.43+113602.2"  19.904  0.153    Lawr12         18.649  0.079    Lawr12        ""      ""       ""             ""     ""       ""            "CWISE J000010.40+113607.1" 0.0432367     11.6019905     16.865 0.044 16.972 0.163 12.493 ""    8.892  ""    ""     ""     ""     ""     ""             ""            ""          T1.5               Card15         ""          91.5       91.5         ""          ""             ""              ARG                         0.0                        
  "SDSS J000013.54+255418.6"   0.0565           25.905            J0000+2554      Knap04                           N                                       N                                         N                   Field                        "2MASS J00001354+2554180" 0.056437       25.905018       1998-10-03  15.063  0.041      Cutr03      14.731  0.12       Cutr03      14.836   0.12        Cutr03        ccc        ""                          15.8    0.06     Dupu12         14.73   0.03     Knap04        14.74   0.03     Knap04         14.82  0.03     Knap04        ""                         ""            ""             ""     ""    ""     ""    ""     ""    ""     ""    13.72  0.03   13.07  0.03   Legg07         T5            Pine16      T4.5               Burg06b        95.0        94.5       94.5         70.8        1.9            Dupu12          USCO                        0.0                        
  "PSO J000.2794+16.6237"      0.2792           16.6241           ""              Alle16b;Reyl18-phot;Sang23       N                                       N                                         lowg                INT-G                        "2MASS J00010700+1637266" 0.279183       16.624073       2000-09-24  15.031  0.041      Cutr03      14.438  0.071      Cutr03      13.877   0.054       Cutr03        000        ""                          15.759  0.065    usyn24         14.969  0.041    usyn24        14.468  0.071    usyn24         13.907 0.054    usyn24        "CWISE J000107.06+163725.5" 0.2791244     16.6241658     13.715 0.014 13.497 0.012 12.179 0.378 8.826  ""    ""     ""     ""     ""     ""             ""            ""          "M7.2 INT-G"       Alle16b        ""          77.2       77.2         13.2        0.4            Gaia23          ABDMG                       0.0                        
  "SDSS J000112.18+153535.5"   0.3007           15.5932           J0001+1535      Knap04                           N                                       N                                         YMG;lowg            ABDMG                        "2MASS J00011217+1535355" 0.300746       15.593199       2000-09-24  15.522  0.062      Cutr03      14.505  0.044      Cutr03      13.71    0.044       Cutr03        000        "ULAS J000112.24+153534.3"  16.877  0.014    WFAU19         15.462  0.006    WFAU19        14.483  0.004    WFAU19         13.623 0.004    WFAU19        "CWISE J000112.32+153532.8" 0.3007488     15.5931918     12.955 0.012 12.552 0.009 11.672 0.237 8.926  ""    ""     ""     ""     ""     ""             ""            ""          "L3.7 INT-G"       Gagn15c        ""          83.7       83.7         31.6        1.8            Gaia23          ABDMG                       0.92                       
  "WISEA J000131.93-084126.9"  0.382            -8.69             J0001-0841      Luhm14c                          N                                       N                                         N                   Field                        "2MASS J00013166-0841234" 0.38192        -8.68986        1998-10-07  15.712  0.05       Cutr03      15.034  0.09       Cutr03      14.698   0.09        Cutr03        c00        ""                          16.647  0.071    Best21         15.651  0.05     Best21        15.117  0.09     Best21         14.67  0.09     Best21        "CWISE J000132.04-084128.6" 0.3820558     -8.6899223     14.31  0.015 14.021 0.016 12.362 ""    8.455  ""    ""     ""     ""     ""     ""             ""            ""          "L1 pec (blue)"    Luhm14c        ""          81.0       81.0         20.3        1.4            Gaia23          ABDMG                       0.0                        
  "LP 584-4"                   0.5259           1.26              J0002+0115      Phan06a                          N                                       N                                         N                   Field                        "2MASS J00020623+0115360" 0.525987       1.260026        2000-08-08  12.168  0.022      Cutr03      11.543  0.023      Cutr03      11.129   0.023       Cutr03        000        "ULAS J000206.42+011536.5"  12.894  0.001    Lawr12         12.093  0.001    Lawr12        11.545  0.001    Lawr12         11.074 0.001    Lawr12        "CWISE J000206.70+011537.0" 0.5259893     1.2600037      10.908 0.011 10.686 0.008 10.472 0.096 8.953  ""    ""     ""     ""     ""     ""             M9            West15      ""                 ""             79.0        ""         79.0         48.28       0.1            Gaia23          HYA                         0.0                        
  "CWISE J000229.93+635217.0"  0.6169           63.871            ""              Meis20b                          N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000229.93+635217.0" 0.6169187     63.8709926     18.208 0.214 15.733 0.052 ""     ""    ""     ""    17.35  0.25   15.69  0.06   Meis20b        ""            ""          T7.5               Meis20b        ""          97.5       97.5         ""          ""             ""              CARN                        0.0                        
  "SDSS J000250.98+245413.8"   0.7124           24.9039           J0002+2454      Chiu06                           N                                       N                                         N                   FLD-G                        "2MASS J00025097+2454141" 0.712399       24.903936       1998-10-03  17.165  0.224      Cutr03      16.06   0.217      Cutr03      15.656   0.217       Cutr03        000        ""                          18.269  0.056    Schn23b;UCS_24 17.022  0.026    Schn23b       16.026  0.053    Schn23b;UCS_24 15.49  0.022    Schn23b       "CWISE J000250.99+245413.5" 0.7121896     24.9038513     14.834 0.016 14.574 0.021 11.726 ""    8.104  ""    ""     ""     ""     ""     ""             ""            ""          L5.5               Chiu06         ""          85.5       85.5         ""          ""             ""              BPMG                        0.057                      
  "2MASSI J0003422-282241"     0.9263           -28.3781          J0003-2822      Cruz07                           N                                       N                                         N                   "2MASSI J0003422-282241"     "2MASS J00034227-2822410" 0.926161       -28.378056      1998-11-07  13.068  0.024      Cutr03      12.376  0.025      Cutr03      11.972   0.025       Cutr03        000        ""                          13.814  0.06     Dupu12         13.017  0.024    Dupu12        12.41   0.028    Dupu12         11.949 0.025    Dupu12        "WISEA J000342.53-282242.7" 0.9272389     -28.3785507    11.705 0.024 11.519 0.023 11.007 0.122 8.641  ""    ""     ""     ""     ""     ""             M7.5          Cruz07      "M7: FLD-G"        Alle13a        77.5        77.0       77.5         24.75       0.16           Gaia23          TAU                         0.0                        
  "2MASS J00040288-6410358"    1.012            -64.1766          J0004-6410      Kirk10                           N                                       N                                         YMG?;lowg           THA?                         "2MASS J00040288-6410358" 1.012006       -64.176613      2000-07-29  15.786  0.072      Cutr03      14.831  0.046      Cutr03      14.009   0.046       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000403.06-641036.6" 1.0119925     -64.1766012    13.4   0.014 12.973 0.01  12.086 0.301 9.055  ""    ""     ""     ""     ""     ""             "L1 gamma"    Kirk10      "L2.3 VL-G"        Fahe16         81.0        82.3       81.0         ""          ""             ""              THA                         0.987                      
