# Name                    SName     OName                  RAJ2000  DEJ2000  Discovery SpTypeopt r_SpTypeopt SpTypeir r_SpTypeir spt_adop spt_flt Binary  Variable Non-var Program AORKEY                              Module          ExpTime         ObsDate                          PI                 SNR6um SNR12um Publication   CH4obs e_CH4obs r_CH4obs W3obs  e_W3obs CH4syn e_CH4syn W3syn  e_W3syn Water e_Water Methane e_Methane Ammonia e_Ammonia Silicate e_Silicate Inclination ed_Inclination eu_Inclination Inc_ref   Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag CH1   eCH1 CH2   eCH2 CH3   eCH3 CH4   eCH4 IRAC_Ref            Period ePeriod Period_ref                AJ(%) e_AJ A3.6(%) e_A3.6 A4.5(%) e_A4.5 ref             parallax eparallax parallax_ref          SpeX Silicate_SM23 e_Silicate_SM23 excess_Si_SM23 e_excess_Si_SM23
  2MASSJ00001354+2554180  0000+2554 ""                     0.0563   25.9055  Knap04    T5        Pine16      T4.5     Burg06b    T4.5     94.5    ""      ""       Buen14  20514   14796032,14796288                   SL2,SL1         144,200,0,0     2005-12-18,2006-01-25            Golimowski,DavidA. 15     11      Step09        12.5   0.03     Legg07   ""     ""      12.95  0.073    ""     ""      1.44  0.12    2.92    0.25      1.24    0.05      0.72     0.14       ""          ""             ""             ""        15.063 0.041  14.731 0.074  14.836 0.12   14.328 0.036   13.881 0.067   10.662 0.15    8.738 ""      13.72 0.03 13.07 0.04 12.56 0.1  12.5  0.03 Leggett_etal2007    ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 70.8     1.9       Dupuy-Liu2012         yes  0.41          0.05            -0.12          0.05          
  2MASSJ00043484-4044058  0004-4044 GJ1001BC,LHS102BC      1.1453   -40.7351 EROS99    L5        Kirk01      L4.5     Knap04     L5       85.0    Goli04  ""       Diet14  50367   26090752                            SL2,SL1         2,3,0,0         2009-01-15                       Cushing,MichaelC.  14     4       Suar22        10.13  0.02     Patt06   9.803  0.048   10.414 0.136    ""     ""      1.12  0.02    0.67    0.05      1.05    0.07      1.15     0.21       ""          ""             ""             ""        13.109 0.024  12.055 0.026  11.396 0.026  10.751 0.023   10.488 0.02    9.868  0.045   9.089 ""      10.36 0.01 10.47 0.01 10.14 0.03 10.13 0.02 Patten_etal2006     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 82.35    0.26      GaiaCollaboration2020 yes  1.36          0.11            0.25           0.11          
  2MASSJ00242463-0158201  0024-0158 DYPsc,BRI0021-0214     6.1026   -1.9722  Irwi91    M9.5      Kirk95      M9.5     Geba02     M9.5     79.5    ""      Mart01   ""      29      3877632                             SL2,SL1,LL2     2,4,36,0        2004-01-04                       Houck,JamesR.      26     9       Cush06        9.55   0.01     Patt06   9.388  0.039   9.531  0.059    9.393  0.112   1.03  0.01    0.67    0.01      1.1     0.02      1.01     0.04       ""          ""             ""             ""        11.992 0.035  11.084 0.022  10.539 0.023  10.166 0.024   9.9    0.019   9.412  0.039   8.797 ""      9.94  0.03 9.91  0.03 9.72  0.01 9.55  0.01 Patten_etal2006     12.0   ""      Martin_etal2001           ""    ""   ""      ""     ""      ""     Vos+2020_table3 80.34    0.19      GaiaCollaboration2020 no   0.94          0.04            -0.01          0.04          
  2MASSJ00250365+4759191  0025+4759 ""                     6.2654   47.9886  Cruz07    L4        Cruz07      ""       ""         L4       84.0    Reid06  ""       ""      50367   26090496                            SL2,SL1         16,30,0,0       2009-03-07                       Cushing,MichaelC.  20     7       Fili15,Suar22 ""     ""       ""       11.364 0.121   11.459 0.089    ""     ""      1.07  0.01    0.63    0.03      1.03    0.05      1.35     0.1        ""          ""             ""             ""        14.84  0.038  13.667 0.031  12.902 0.057  11.74  0.021   11.572 0.02    11.215 0.085   9.552 ""      ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 18.49    0.06      GaiaCollaboration2020 no   1.09          0.07            -0.06          0.07          
  ULASJ003402.77-005206.7 0034-0052 ""                     8.5116   -0.869   Warr07    ""        ""          T9       Burn08     T9       99.0    ""      ""       ""      40419   21830400,21830656                   SL1             0,512,0,0       2008-01-15                       Leggett,SandyK.    0      9       Legg09        13.91  0.06     Warr07   11.955 ""      ""     ""       ""     ""      ""    ""      4.59    0.48      1.63    0.18      ""       ""         ""          ""             ""             ""        16.359 0.085  16.04  0.134  16.024 ""     17.471 0.29    14.5   0.079   12.058 ""      8.676 ""      16.28 0.03 14.49 0.03 14.82 0.05 13.91 0.06 Warren_etal2007     ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 68.7     1.4       Dupuy-Liu2012         no   ""            ""              ""             ""            
  2MASSJ00345157+0523050  0034+0523 ""                     8.7144   5.3846   Burg04b   ""        ""          T6.5     Burg06b    T6.5     96.5    ""      ""       Wils14  20544   14825728                            SL2,SL1         120,120,0,0     2006-01-19                       Burgasser,AdamJ.   9      12      Suar22        12.25  0.11     Fili15   11.78  0.313   12.387 0.116    ""     ""      1.32  0.09    2.47    0.12      1.36    0.05      0.74     0.12       ""          ""             ""             ""        15.535 0.045  15.443 0.082  16.243 ""     15.061 0.041   12.52  0.028   11.302 0.209   8.807 ""      14.1  0.05 12.58 0.03 13.08 0.09 12.25 0.11 Filippazzo_etal2015 ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 120.1    3.0       Kirkpatrick_etal2019  yes  0.54          0.03            0.05           0.03          
  2MASSJ00361617+1821104  0036+1821 ""                     9.0671   18.3529  Reid00    L3.5      Kirk00      L4       Knap04     L3.5     83.5    Bern10  Metc15   ""      51      4188672                             SL2,SL1,LL2,LL1 8,8,8,16        2004-01-06                       Houck,JamesR.      37     11      Cush06        10.06  0.01     Patt06   9.851  0.054   9.996  0.043    9.846  0.092   1.12  0.01    0.59    0.01      1.02    0.03      1.28     0.08       51          9              9              Vos+2017  12.466 0.027  11.588 0.03   11.058 0.021  10.516 0.024   10.237 0.02    9.931  0.053   8.508 ""      10.19 0.03 10.24 0.01 10.1  0.02 10.06 0.01 Patten_etal2006     2.7    0.3     Metchev_etal2015          1.22  0.04 0.47    0.05   0.19    0.04   Vos+2020_table3 114.47   0.14      GaiaCollaboration2020 yes  1.2           0.08            0.06           0.08          
  CFBDSJ005910-011401     0059-0114 ""                     14.7963  -1.2336  Delo08    ""        ""          T9       Delo08     T9       99.0    ""      ""       ""      50667   26685440                            SL1             0,238,0,0       2009-01-13                       Albert,Loic        0      13      Suar22        ""     ""       Grif12   11.63  ""      ""     ""       ""     ""      ""    ""      3.52    0.37      1.6     0.16      ""       ""         ""          ""             ""             ""        13.82  0.027  13.291 0.031  13.201 0.035  17.07  0.151   13.681 0.043   11.646 0.226   9.095 ""      15.74 0.01 13.72 0.01 ""    ""   ""    ""   Griffith_etal2012   ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 103.2    2.1       Dupuy-Liu2012         no   ""            ""              ""             ""            
  2MASSJ01365662+0933473  0136+0933 SIMPJ013656.5+093347.3 24.2357  9.5631   Arti06    T2        Pine16      T2.5     Arti06     T2.5     92.5    ""      Arti09   ""      40076   21967104                            SL2,SL1         6,6,0,0         2008-09-01                       Mainzer,AmandaK.   24     11      Suar22        ""     ""       ""       9.738  0.048   10.288 0.058    ""     ""      1.2   0.03    1.56    0.04      1.21    0.02      0.71     0.08       80          12             12             Vos+2017  13.455 0.03   12.771 0.032  12.562 0.024  11.919 0.023   10.943 0.021   9.763  0.039   8.92  0.37    ""    ""   ""    ""   ""    ""   ""    ""   ""                  2.3895 5.0E-4  Artigau_etal2009          ""    ""   1.5     0.2    ""      ""     Vos+2020_table3 163.45   0.46      GaiaCollaboration2020 yes  0.61          0.03            0.01           0.03          
  2MASSJ01390120-1757026  0139-1757 Gl65,G272-61           24.7557  -17.9507 Luyt49    M5.5      Kirk91      ""       ""         M5.5     75.5    Kirk91  ""       ""      29      3878400                             SL2,SL1,LL2,LL1 0.4,0.4,0.4,0.4 2005-07-10                       Houck,JamesR.      186    114     Cush06,Suar22 ""     ""       ""       4.766  0.015   4.901  0.017    4.758  0.019   1.05  0.01    0.67    0.01      1.13    0.01      1.09     0.02       ""          ""             ""             ""        6.283  0.019  5.69   0.029  5.343  0.021  5.053  0.072   4.575  0.041   4.762  0.015   4.616 0.025   ""    ""   ""    ""   ""    ""   ""    ""   ""                  ""     ""      ""                        ""    ""   ""      ""     ""      ""     Vos+2020_table3 367.71   0.74      GaiaCollaboration2020 no   1.0           0.02            0.06           0.02          
