#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.015545   0.000631 
   5.24749   0.016126   0.000610 
   5.27773   0.015458   0.000637 
   5.30797   0.016108   0.000569 
   5.33821   0.016008   0.000551 
   5.36846   0.015528   0.000574 
   5.39870   0.015938   0.000532 
   5.42894   0.015096   0.000581 
   5.45918   0.015285   0.000510 
   5.48942   0.015881   0.000517 
   5.51967   0.015154   0.000494 
   5.54991   0.014663   0.000480 
   5.58015   0.014497   0.000557 
   5.61039   0.013996   0.000724 
   5.64063   0.014222   0.000594 
   5.67088   0.014045   0.000481 
   5.70112   0.013888   0.000514 
   5.73136   0.014110   0.000542 
   5.76160   0.014851   0.000502 
   5.79184   0.014610   0.000562 
   5.82209   0.014242   0.000596 
   5.85233   0.014805   0.000517 
   5.88257   0.014320   0.000553 
   5.91281   0.014633   0.000581 
   5.94305   0.014308   0.000532 
   5.97330   0.014331   0.000586 
   6.00354   0.014886   0.000564 
   6.03378   0.015040   0.000576 
   6.06402   0.014102   0.000528 
   6.09426   0.014104   0.000576 
   6.12451   0.014703   0.000547 
   6.15475   0.014603   0.000526 
   6.18499   0.014142   0.000558 
   6.21523   0.014154   0.000636 
   6.24547   0.013875   0.000603 
   6.27572   0.013936   0.000550 
   6.30596   0.014761   0.000592 
   6.33620   0.014261   0.000643 
   6.36644   0.013536   0.000671 
   6.39668   0.012942   0.000638 
   6.42693   0.013306   0.000594 
   6.45717   0.012743   0.000639 
   6.48741   0.012267   0.000605 
   6.51765   0.011943   0.000586 
   6.54789   0.011556   0.000633 
   6.57814   0.011968   0.000658 
   6.60838   0.011647   0.000639 
   6.63862   0.012092   0.000640 
   6.66886   0.011595   0.000579 
   6.69910   0.011877   0.000614 
   6.72935   0.012008   0.000589 
   6.75959   0.012693   0.000672 
   6.78983   0.011551   0.000720 
   6.82007   0.011123   0.000776 
   6.85031   0.011879   0.000813 
   6.88056   0.011314   0.000717 
   6.91080   0.010706   0.000756 
   6.94104   0.011952   0.000747 
   6.97128   0.011293   0.000691 
   7.00152   0.011279   0.000788 
   7.03177   0.011026   0.000797 
   7.06201   0.011451   0.000805 
   7.09225   0.010716   0.000756 
   7.12249   0.011246   0.000730 
   7.15273   0.010664   0.000775 
   7.18298   0.010905   0.000712 
   7.21322   0.011362   0.000813 
   7.24346   0.011682   0.000883 
   7.27370   0.011417   0.000794 
   7.30394   0.011368   0.000815 
   7.33419   0.011008   0.002619 
   7.36443   0.010868   0.001068 
   7.39467   0.011265   0.001029 
   7.42491   0.011148   0.000836 
   7.45515   0.010650   0.000957 
   7.48540   0.011266   0.000985 
   7.51564   0.010150   0.000460 
   7.57612   0.010405   0.000422 
   7.63660   0.009955   0.000403 
   7.69709   0.010130   0.000372 
   7.75757   0.009935   0.000340 
   7.81805   0.010233   0.000346 
   7.87854   0.010038   0.000372 
   7.93902   0.009437   0.000352 
