#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.001202   0.000081 
   5.24749   0.001022   0.000072 
   5.27773   0.000958   0.000067 
   5.30797   0.000981   0.000065 
   5.33821   0.001121   0.000065 
   5.36846   0.001057   0.000089 
   5.39870   0.001027   0.000073 
   5.42894   0.001049   0.000053 
   5.45918   0.001069   0.000063 
   5.48942   0.000918   0.000047 
   5.51967   0.000887   0.000060 
   5.54991   0.000870   0.000066 
   5.58015   0.000942   0.000082 
   5.61039   0.000966   0.000071 
   5.64063   0.000871   0.000044 
   5.67088   0.000942   0.000076 
   5.70112   0.000797   0.000065 
   5.73136   0.000766   0.000072 
   5.76160   0.000906   0.000068 
   5.79184   0.000770   0.000045 
   5.82209   0.000945   0.000049 
   5.85233   0.000866   0.000055 
   5.88257   0.000856   0.000049 
   5.91281   0.000663   0.000059 
   5.94305   0.000716   0.000084 
   5.97330   0.000931   0.000054 
   6.00354   0.000895   0.000055 
   6.03378   0.000847   0.000053 
   6.06402   0.000782   0.000045 
   6.09426   0.000897   0.000053 
   6.12451   0.000955   0.000087 
   6.15475   0.000997   0.000080 
   6.18499   0.000838   0.000072 
   6.21523   0.000986   0.000062 
   6.24547   0.001123   0.000076 
   6.27572   0.000957   0.000070 
   6.30596   0.000910   0.000069 
   6.33620   0.001105   0.000064 
   6.36644   0.001011   0.000075 
   6.39668   0.000762   0.000066 
   6.42693   0.000699   0.000054 
   6.45717   0.001011   0.000069 
   6.48741   0.000657   0.000080 
   6.51765   0.000640   0.000065 
   6.54789   0.000700   0.000103 
   6.57814   0.000543   0.000100 
   6.60838   0.000649   0.000072 
   6.63862   0.000628   0.000071 
   6.66886   0.000507   0.000062 
   6.69910   0.000462   0.000064 
   6.72935   0.000723   0.000059 
   6.75959   0.000775   0.000062 
   6.78983   0.000649   0.000089 
   6.82007   0.000586   0.000088 
   6.85031   0.000654   0.000076 
   6.88056   0.000796   0.000072 
   6.91080   0.000939   0.000075 
   6.94104   0.000844   0.000077 
   6.97128   0.000681   0.000115 
   7.00152   0.000768   0.000118 
   7.03177   0.000987   0.000101 
   7.06201   0.000882   0.000149 
   7.09225   0.001024   0.000093 
   7.12249   0.000919   0.000071 
   7.15273   0.000705   0.000117 
   7.18298   0.000645   0.000111 
   7.21322   0.000588   0.000086 
   7.24346   0.000614   0.000106 
   7.27370   0.000705   0.000091 
   7.30394   0.000723   0.000098 
   7.33419   0.000794   0.000140 
   7.36443   0.000767   0.000133 
   7.39467   0.001065   0.000163 
   7.42491   0.001032   0.000123 
   7.45515   0.001115   0.000089 
   7.48540   0.000970   0.000099 
   7.51564   0.000733   0.000045 
   7.57612   0.000622   0.000041 
   7.63660   0.000562   0.000033 
   7.69709   0.000527   0.000032 
   7.75757   0.000590   0.000034 
   7.81805   0.000555   0.000033 
   7.87854   0.000653   0.000034 
   7.93902   0.000699   0.000030 
   7.99951   0.000686   0.000029 
   8.05999   0.000706   0.000024 
   8.12047   0.000776   0.000023 
   8.18096   0.000728   0.000029 
   8.24144   0.000676   0.000025 
   8.30192   0.000648   0.000024 
   8.36241   0.000640   0.000024 
   8.42289   0.000675   0.000027 
   8.48337   0.000737   0.000023 
   8.54386   0.000669   0.000025 
   8.60434   0.000718   0.000027 
   8.66483   0.000773   0.000023 
   8.72531   0.000653   0.000025 
   8.78579   0.000556   0.000027 
   8.84628   0.000619   0.000024 
   8.90676   0.000621   0.000028 
   8.96724   0.000651   0.000032 
   9.02773   0.000638   0.000029 
   9.08821   0.000604   0.000028 
   9.14869   0.000586   0.000027 
   9.20918   0.000666   0.000031 
   9.26966   0.000663   0.000034 
   9.33015   0.000668   0.000041 
   9.39063   0.000778   0.000030 
   9.45111   0.000691   0.000030 
   9.51160   0.000611   0.000032 
   9.57208   0.000693   0.000034 
   9.63256   0.000644   0.000038 
   9.69305   0.000658   0.000033 
   9.75353   0.000627   0.000037 
   9.81401   0.000611   0.000037 
   9.87450   0.000586   0.000032 
   9.93498   0.000626   0.000030 
   9.99547   0.000747   0.000031 
  10.05595   0.000649   0.000031 
  10.11643   0.000592   0.000032 
  10.17692   0.000534   0.000032 
  10.23740   0.000563   0.000032 
  10.29788   0.000498   0.000032 
  10.35837   0.000534   0.000032 
  10.41885   0.000601   0.000033 
  10.47933   0.000534   0.000037 
  10.53982   0.000562   0.000036 
  10.60030   0.000601   0.000038 
  10.66079   0.000646   0.000035 
  10.72127   0.000596   0.000036 
  10.78175   0.000577   0.000039 
  10.84224   0.000559   0.000044 
  10.90272   0.000525   0.000044 
  10.96320   0.000601   0.000041 
  11.02369   0.000536   0.000044 
  11.08417   0.000532   0.000045 
  11.14465   0.000511   0.000047 
  11.20514   0.000525   0.000046 
  11.26562   0.000672   0.000044 
  11.32611   0.000629   0.000046 
  11.38659   0.000641   0.000048 
  11.44707   0.000601   0.000056 
  11.50756   0.000523   0.000049 
  11.56804   0.000511   0.000048 
  11.62852   0.000532   0.000049 
  11.68901   0.000487   0.000048 
  11.74949   0.000487   0.000049 
  11.80997   0.000465   0.000045 
  11.87046   0.000581   0.000047 
  11.93094   0.000558   0.000045 
  11.99143   0.000444   0.000044 
  12.05191   0.000563   0.000049 
  12.11239   0.000510   0.000048 
  12.17288   0.000557   0.000047 
  12.23336   0.000501   0.000051 
  12.29384   0.000506   0.000053 
  12.35433   0.000487   0.000044 
  12.41481   0.000394   0.000048 
  12.47529   0.000532   0.000047 
  12.53578   0.000441   0.000047 
  12.59626   0.000457   0.000048 
  12.65675   0.000440   0.000050 
  12.71723   0.000450   0.000049 
  12.77771   0.000465   0.000049 
  12.83820   0.000506   0.000053 
  12.89868   0.000425   0.000051 
  12.95916   0.000446   0.000054 
  13.01965   0.000493   0.000056 
